Date,Open,High,Low,Close,Volume(1E5),Adj Close
2015/1/13,111.43,112.8,108.91,110.22,668.859,110.22
2015/1/12,112.6,112.63,108.8,109.25,496.508,109.25
2015/1/9,112.67,113.25,110.21,112.01,536.995,112.01
2015/1/8,109.23,112.15,108.7,111.89,593.645,111.89
2015/1/7,107.2,108.2,106.7,107.75,401.059,107.75
2015/1/6,106.54,107.43,104.63,106.26,657.971,106.26
2015/1/5,108.29,108.65,105.41,106.25,642.855,106.25
2015/1/2,111.39,111.44,107.35,109.33,532.046,109.33
2014/12/31,112.82,113.13,110.21,110.38,414.034,110.38
2014/12/30,113.64,113.92,112.11,112.52,298.815,112.52
2014/12/29,113.79,114.77,113.7,113.91,275.989,113.91
2014/12/26,112.1,114.52,112.01,113.99,337.21,113.99
2014/12/24,112.58,112.71,112.01,112.01,144.796,112.01
2014/12/23,113.23,113.33,112.46,112.54,260.284,112.54
2014/12/22,112.16,113.49,111.97,112.94,451.675,112.94
2014/12/19,112.26,113.24,111.66,111.78,884.298,111.78
2014/12/18,111.87,112.65,110.66,112.65,590.062,112.65
2014/12/17,107.12,109.84,106.82,109.41,534.118,109.41
2014/12/16,106.37,110.16,106.26,106.75,607.907,106.75
2014/12/15,110.7,111.6,106.35,108.23,672.181,108.23
2014/12/12,110.46,111.87,109.58,109.73,560.281,109.73
2014/12/11,112.26,113.8,111.34,111.62,414.017,111.62
2014/12/10,114.41,114.85,111.54,111.95,445.653,111.95
2014/12/9,110.19,114.3,109.35,114.12,602.08,114.12
2014/12/8,114.1,114.65,111.62,112.4,576.649,112.4
2014/12/5,115.99,116.08,114.64,115,383.189,115
2014/12/4,115.77,117.2,115.29,115.49,420.445,115.49
2014/12/3,115.75,116.35,115.11,115.93,430.634,115.93
2014/12/2,113.5,115.75,112.75,114.63,590.751,114.63
2014/12/1,118.81,119.25,111.27,115.07,838.14,115.07
2014/11/28,119.27,119.4,118.05,118.93,248.144,118.93
2014/11/26,117.94,119.1,117.83,119,407.683,119
2014/11/25,119.07,119.75,117.45,117.6,688.404,117.6
2014/11/24,116.85,118.77,116.62,118.63,474.508,118.63
2014/11/21,117.51,117.57,116.03,116.47,571.793,116.47
2014/11/20,114.91,116.86,114.85,116.31,433.955,116.31
2014/11/19,115.44,115.74,113.8,114.67,418.692,114.67
2014/11/18,113.94,115.69,113.89,115.47,442.24,115.47
2014/11/17,114.27,117.28,113.3,113.99,467.467,113.99
2014/11/14,113.15,114.19,113.05,114.18,440.636,114.18
2014/11/13,111.8,113.45,111.6,112.82,595.229,112.82
2014/11/12,109.38,111.43,109.37,111.25,469.424,111.25
2014/11/11,108.7,109.75,108.4,109.7,274.423,109.7
2014/11/10,109.02,109.33,108.67,108.83,271.955,108.83
2014/11/7,108.75,109.32,108.55,109.01,336.915,109.01
2014/11/6,108.6,108.79,107.8,108.7,349.685,108.7
2014/11/5,109.1,109.3,108.13,108.86,374.359,108.39
2014/11/4,109.36,109.49,107.72,108.6,415.744,108.13
2014/11/3,108.22,110.3,108.01,109.4,522.826,108.93
2014/10/31,108.01,108.04,107.21,108,446.393,107.53
2014/10/30,106.96,107.35,105.9,106.98,406.548,106.52
2014/10/29,106.65,107.37,106.36,107.34,526.879,106.88
2014/10/28,105.4,106.74,105.35,106.74,479.399,106.28
2014/10/27,104.85,105.48,104.7,105.11,341.877,104.66
2014/10/24,105.18,105.49,104.53,105.22,470.539,104.77
2014/10/23,104.08,105.05,103.63,104.83,710.747,104.38
2014/10/22,102.84,104.11,102.6,102.99,682.631,102.55
2014/10/21,103.02,103.02,101.27,102.47,946.239,102.03
2014/10/20,98.32,99.96,98.22,99.76,775.173,99.33
2014/10/17,97.5,99,96.81,97.67,681.797,97.25
2014/10/16,95.55,97.72,95.41,96.26,721.545,95.84
2014/10/15,97.97,99.15,95.18,97.54,1009.336,97.12
2014/10/14,100.39,100.52,98.57,98.75,636.886,98.32
2014/10/13,101.33,101.78,99.81,99.81,535.834,99.38
2014/10/10,100.69,102.03,100.3,100.73,663.316,100.3
2014/10/9,101.54,102.38,100.61,101.02,773.765,100.58
2014/10/8,98.76,101.11,98.31,100.8,574.047,100.36
2014/10/7,99.43,100.12,98.73,98.75,420.942,98.32
2014/10/6,99.95,100.65,99.42,99.62,370.512,99.19
2014/10/3,99.44,100.21,99.04,99.62,434.696,99.19
2014/10/2,99.27,100.22,98.04,99.9,477.578,99.47
2014/10/1,100.59,100.69,98.7,99.18,514.913,98.75
2014/9/30,100.81,101.54,100.53,100.75,552.641,100.32
2014/9/29,98.65,100.44,98.63,100.11,497.663,99.68
2014/9/26,98.53,100.75,98.4,100.75,623.705,100.32
